,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRICAO,NOME_DEPARTAMENTO_CIRCUNSCRICAO,NOME_SECCIONAL_CIRCUNSCRICAO,NOME_MUNICIPIO_CIRCUNSCRICAO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA
80844,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,PIRACICABA,AA0271,2025,2025-01-01,2024-12-31,,A noite,Outros,Outros,CENTRO,RUA PRUDENTE DE MORAES,325.0,-22.7217511,-47.6518417,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80847,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AC7331,2025,2025-01-03,2024-12-24,10:30:51,,Condomínio Comercial,Lojas,CENTRO,RUA GOVERNADOR PEDRO DE TOLÊDO,1206.0,-22.7306639679999,-47.650530745,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento Comercial,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80848,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AC9860,2025,2025-01-03,2024-12-30,,A tarde,Via Pública,Via Pública,CENTRO,RUA GOVERNADOR PEDRO DE TOLEDO,1.0,-22.7281313,-47.6491172,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80850,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,AE9136,2025,2025-01-06,2024-11-20,,Em hora incerta,Via Pública,Via Pública,CENTRO,RUA JOAQUIM ANDRÉ,796.0,-22.734363894,-47.655983953,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80852,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,AF8923,2025,2025-01-06,2024-12-01,11:00:00,,Via Pública,Via Pública,CENTRO,RUA SÃO FRANCISCO DE ASSIS,663.0,-22.7342166956,-47.6541682722,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80853,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AG1421,2025,2025-01-06,2025-01-06,17:00:00,,Via Pública,Via Pública,CENTRO,RUA RIACHUELO,871.0,-22.7322601179999,-47.649426058,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80855,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AG9827,2025,2025-01-07,2025-01-07,10:29:37,,Estabelecimento Bancário,Agência,CENTRO,RUA PRAÇA JOSÉ BONIFÁCIO,0.0,-22.7245574,-47.6484682,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior Estabelecimento,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80856,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,AH4315,2025,2025-01-07,2025-01-04,,A noite,Comércio e Serviços,Mercado,CENTRO,RUA REGENTE FEIJÓ,823.0,-22.7219728,-47.6462089,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior Estabelecimento,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80863,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AL4094,2025,2025-01-10,2025-01-09,17:00:49,,Comércio e Serviços,Mercado,CENTRO,RUA RANGEL PESTANA,1039.0,-22.725508351,-47.6547523739999,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80864,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AL6084,2025,2025-01-10,2025-01-10,,De madrugada,Via Pública,Praça,CENTRO,RUA PRAÇA JOSÉ BONIFÁCIO,1.0,-22.7245574,-47.6484682,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
